Date,Honeywell (HON) Price
8/9/2010,31.3831
8/10/2010,31.047
8/11/2010,29.8958
8/12/2010,29.524
8/13/2010,29.5454
8/16/2010,29.4453
8/17/2010,30.3105
8/18/2010,30.3627
8/19/2010,29.3617
8/20/2010,29.2681
8/23/2010,28.9224
8/24/2010,28.3318
8/25/2010,27.9573
8/26/2010,27.8709
8/27/2010,28.5551
8/30/2010,27.9862
8/31/2010,28.1302
9/1/2010,29.4409
9/2/2010,30.2547
9/3/2010,30.8381
9/6/2010,30.8381
9/7/2010,30.1971
9/8/2010,30.3844
9/9/2010,30.2259
9/10/2010,30.8309
9/13/2010,31.1837
9/14/2010,31.3566
9/15/2010,31.3782
9/16/2010,31.4934
9/17/2010,31.5582
9/20/2010,31.9111
9/21/2010,31.9111
9/22/2010,31.4574
9/23/2010,31.1333
9/24/2010,32.0192
9/27/2010,31.5726
9/28/2010,31.8247
9/29/2010,31.7167
9/30/2010,31.6447
10/1/2010,31.7959
10/4/2010,31.407
10/5/2010,32.4153
10/6/2010,32.9266
10/7/2010,32.7537
10/8/2010,32.9482
10/11/2010,32.8474
10/12/2010,32.8042
10/13/2010,33.4235
10/14/2010,33.2507
10/15/2010,33.4811
10/18/2010,33.8484
10/19/2010,33.2435
10/20/2010,33.4235
10/21/2010,33.6108
10/22/2010,34.0357
10/25/2010,34.2301
10/26/2010,34.0501
10/27/2010,33.9132
10/28/2010,33.9204
10/29/2010,33.9276
11/1/2010,33.7044
11/2/2010,34.0213
11/3/2010,34.1653
11/4/2010,35.296
11/5/2010,35.4904
11/8/2010,35.368
11/9/2010,35.3032
11/10/2010,35.1663
11/11/2010,34.7918
11/12/2010,34.2229
11/15/2010,34.2733
11/16/2010,34.8855
11/17/2010,35.3801
11/18/2010,36.0468
11/19/2010,36.0758
11/22/2010,35.9816
11/23/2010,35.9453
11/24/2010,36.5324
11/25/2010,36.5324
11/26/2010,36.3294
11/29/2010,36.1845
11/30/2010,36.0251
12/1/2010,36.873
12/2/2010,37.0976
12/3/2010,37.2861
12/6/2010,37.0831
12/7/2010,37.2716
12/8/2010,37.2281
12/9/2010,37.2063
12/10/2010,37.6701
12/13/2010,37.6846
12/14/2010,38.0687
12/15/2010,37.3513
12/16/2010,38.7065
12/17/2010,38.4021
12/20/2010,38.3441
12/21/2010,38.7934
12/22/2010,38.9311
12/23/2010,38.721
12/24/2010,38.721
12/27/2010,38.692
12/28/2010,38.7789
12/29/2010,38.6268
12/30/2010,38.3804
12/31/2010,38.5253
1/3/2011,39.2862
1/4/2011,38.7572
1/5/2011,39.4022
1/6/2011,39.3949
1/7/2011,39.3515
1/10/2011,39.0616
1/11/2011,39.134
1/12/2011,39.6558
1/13/2011,39.5616
1/14/2011,39.8732
1/17/2011,39.8732
1/18/2011,39.6848
1/19/2011,39.3804
1/20/2011,39.5544
1/21/2011,39.4892
1/24/2011,40.1269
1/25/2011,40.1341
1/26/2011,40.4168
1/27/2011,40.5255
1/28/2011,40.0907
1/31/2011,40.5907
2/1/2011,41.2647
2/2/2011,41.6053
2/3/2011,41.4314
2/4/2011,41.3951
2/7/2011,41.4024
2/8/2011,41.5908
2/9/2011,41.5546
2/10/2011,41.6488
2/11/2011,42.0184
2/14/2011,41.743
2/15/2011,41.5763
2/16/2011,41.6948
2/17/2011,41.8114
2/18/2011,42.2706
2/21/2011,42.2706
2/22/2011,40.9877
2/23/2011,40.5576
2/24/2011,41.1699
2/25/2011,41.7531
2/28/2011,42.2123
3/1/2011,41.1481
3/2/2011,40.492
3/3/2011,41.7604
3/4/2011,41.1918
3/7/2011,40.9585
3/8/2011,41.7676
3/9/2011,41.3376
3/10/2011,40.667
3/11/2011,41.0169
3/14/2011,40.8273
3/15/2011,40.4847
3/16/2011,39.6027
3/17/2011,40.2442
3/18/2011,40.718
3/21/2011,41.5781
3/22/2011,41.2137
3/23/2011,41.6219
3/24/2011,42.0811
3/25/2011,41.8333
3/28/2011,42.5112
3/29/2011,43.4442
3/30/2011,43.4369
3/31/2011,43.5244
4/1/2011,43.1963
4/4/2011,43.1745
4/5/2011,43.0433
4/6/2011,42.8975
4/7/2011,42.6351
4/8/2011,42.4966
4/11/2011,42.4674
